Stadium,Split,Set,PA,Hits,Singles,Doubles,Homeruns,Strikeoutper,Walkper,xBA,xSLG,xwOBA,BABIP,AVG,Hits/PA,Singles/PA,Doubles/PA,Homeruns/PA,K_rate,Walk_rate,xBA_avg,xSLG_avg,xwOBA_avg,BABIP_avg,AVG_avg,Hits_boost,Singles_boost,Doubles_boost,Homeruns_boost,K_rate_boost,Walk_rate_boost,xBA_avg_boost,xSLG_avg_boost,xwOBA_avg_boost,BABIP_avg_boost,AVG_avg_boost
"ARI","RHH","",6753,1638,1019,358,226,14.7,5.9,0.27,0.438,0.331,0.253,0.248,0.2425588627,0.1508958981,0.05301347549,0.03346660743,0.2001034483,0.07068965517,0.2584344828,0.4086758621,0.321262069,0.3077896552,0.2560689655,1.091977333,1.033369964,1.224103346,1.116645548,0.871791196,1.092730067,1.085386172,1.072549881,1.080379328,1.10111493,1.100152338
"ATL","RHH","",6935,1533,1029,291,192,24.8,12.9,0.268,0.528,0.385,0.321,0.27,0.2210526316,0.1483777938,0.04196106705,0.02768565249,0.2562805281,0.05568316832,0.2299075908,0.3528976898,0.2807557756,0.3056435644,0.2323861386,0.9951582899,1.016125404,0.9688986077,0.9237584255,1.116538021,0.8607578027,0.9655774921,0.9261627865,0.9441598171,1.093437308,0.9984035088
"BAL","RHH","",6124,1410,906,283,193,24.7,5,0.271,0.469,0.34,0.31,0.257,0.2302416721,0.1479425212,0.04621162639,0.03151534944,0.2288767123,0.05973972603,0.2451267123,0.4161952055,0.309880137,0.2828253425,0.2378767123,1.036526492,1.013144557,1.067045802,1.051539948,0.9971477478,0.92346461,1.029495526,1.092284031,1.042102777,1.011805309,1.02199273
"BOS","RHH","",6310,1438,984,267,171,23.1,3.6,0.239,0.396,0.297,0.311,0.254,0.2278922345,0.1559429477,0.04231378764,0.02709984152,0.2396738351,0.06435125448,0.2310860215,0.3677992832,0.288265233,0.2831075269,0.2315089606,1.025949543,1.067933325,0.9770430737,0.9042122791,1.0441876,0.9947502285,0.970526725,0.965271292,0.9694135377,1.012814822,0.9946348776
"CHC","RHH","",6641,1360,913,227,200,8.9,5.8,0.29,0.376,0.317,0.304,0.279,0.2047884355,0.1374792953,0.03418159916,0.03011594639,0.2360511945,0.05374061433,0.2416211604,0.3980136519,0.2990819113,0.263112628,0.2186450512,0.9219383989,0.9414899686,0.7892674367,1.004847519,1.028404832,0.8307295456,1.014772733,1.04456743,1.005789185,0.9412832374,0.939367501
"CIN","RHH","",7300,1591,1007,336,236,22.1,10.1,0.237,0.386,0.315,0.266,0.235,0.2179452055,0.1379452055,0.04602739726,0.03232876712,0.2366511628,0.06910299003,0.2391860465,0.3825647841,0.2997740864,0.2774684385,0.2352059801,0.981168948,0.9446806292,1.062791875,1.078680411,1.031018716,1.068203187,1.004545618,1.004022629,1.008116916,0.9926410302,1.010518429
"CLE","RHH","",5186,1120,726,249,134,31.4,6.9,0.224,0.387,0.3,0.308,0.217,0.2159660625,0.1399922869,0.04801388353,0.02583879676,0.2277859649,0.07229824561,0.2429122807,0.3979298246,0.3066245614,0.2862175439,0.2334,0.9722590311,0.9586995158,1.108660675,0.8621363077,0.9923956858,1.117595872,1.020195245,1.044347429,1.03115453,1.023940882,1.002759374
"COL","RHH","",7773,2032,1330,408,247,22.8,6.5,0.276,0.469,0.343,0.369,0.31,0.261417728,0.1711051074,0.05248938634,0.03177666281,0.1843853821,0.06986046512,0.2635880399,0.4218471761,0.3246478405,0.3164352159,0.2760398671,1.176878182,1.171767297,1.212001908,1.06025892,0.8033122574,1.079912337,1.107030341,1.107117353,1.091765415,1.132044352,1.185953575
"CHW","RHH","",6929,1480,1006,288,176,23.3,3.6,0.265,0.426,0.313,0.3,0.248,0.2135950354,0.1451868957,0.04156443931,0.02540049069,0.2198694158,0.07641924399,0.2430309278,0.3886357388,0.306185567,0.2794845361,0.2384158076,0.9615848886,0.9942733962,0.9597403071,0.8475118041,0.9579056364,1.181298811,1.020693545,1.019955554,1.029678226,0.9998536024,1.024308852
"DET","RHH","",6519,1405,935,265,191,26.7,9,0.233,0.463,0.334,0.302,0.252,0.2155238534,0.143426906,0.0406504065,0.02929897224,0.2369031142,0.06336678201,0.2298581315,0.3531799308,0.2833391003,0.2622768166,0.2209965398,0.970268247,0.9822205803,0.9386349068,0.9775883907,1.032116393,0.9795321224,0.9653697706,0.9269035143,0.9528473372,0.9382931292,0.9494702312
